iter	Passed	Remaining
836	5518	1074
837	5524	1068
838	5530	1061
839	5537	1054
840	5543	1048
841	5548	1041
842	5555	1034
843	5561	1027
844	5567	1021
845	5573	1014
846	5579	1007
847	5585	1001
848	5591	994
849	5597	987
850	5603	981
851	5609	974
852	5615	967
853	5621	961
854	5627	954
855	5633	947
856	5639	941
857	5645	934
858	5651	927
859	5657	920
860	5663	914
861	5669	907
862	5674	900
863	5681	894
864	5687	887
865	5693	881
866	5700	874
867	5705	867
868	5711	860
869	5718	854
870	5723	847
871	5730	841
872	5736	834
873	5741	827
874	5748	821
875	5753	814
876	5759	807
877	5765	801
878	5771	794
879	5777	787
880	5784	781
881	5790	774
882	5797	768
883	5803	761
884	5809	754
885	5816	748
886	5822	741
887	5828	735
888	5834	728
889	5840	721
890	5847	715
891	5853	708
892	5859	702
893	5865	695
894	5870	688
895	5877	682
896	5882	675
897	5888	668
898	5894	662
899	5900	655
900	5905	648
901	5911	642
902	5917	635
903	5923	629
904	5929	622
905	5935	615
906	5942	609
907	5948	602
908	5955	596
909	5961	589
910	5967	583
911	5974	576
912	5981	569
913	5987	563
914	5994	556
915	6001	550
916	6007	543
917	6014	537
918	6020	530
919	6027	524
920	6033	517
921	6040	510
922	6046	504
923	6052	497
924	6059	491
925	6065	484
926	6071	478
927	6077	471
928	6084	464
929	6090	458
930	6096	451
931	6102	445
932	6110	438
933	6116	432
934	6123	425
935	6129	419
936	6135	412
937	6142	406
938	6148	399
939	6154	392
940	6160	386
941	6166	379
942	6173	373
943	6179	366
944	6186	360
945	6193	353
946	6199	346
947	6207	340
948	6213	333
949	6220	327
950	6226	320
951	6232	314
952	6239	307
953	6245	301
954	6252	294
955	6258	288
956	6263	281
957	6270	274
958	6277	268
959	6283	261
960	6290	255
961	6296	248
962	6304	242
963	6310	235
964	6317	229
965	6323	222
966	6329	215
967	6335	209
968	6341	202
969	6347	196
970	6353	189
971	6358	183
972	6364	176
973	6370	170
974	6376	163
975	6383	156
976	6388	150
977	6394	143
978	6401	137
979	6406	130
980	6413	124
981	6419	117
982	6425	111
983	6432	104
984	6438	98
985	6444	91
986	6451	84
987	6456	78
988	6462	71
989	6468	65
990	6474	58
991	6480	52
992	6486	45
993	6492	39
994	6499	32
995	6504	26
996	6510	19
997	6516	13
998	6522	6
999	6529	0
